Sample No. – No. d’échantillon,Region - Région,Function,Fonction,Origin,Origine,Product,Produit,Date Sampled – Date d’échantillonage,Type of Test,Type d’analyse,Component,Composant,Result - Résultat,Unit - Unité,Plan Code - Code du régime,,,
C2013COUM00088,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Children,Céréales - Enfants,29-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,11.6,µg/g,2013_TS020,,,
C2013COUM00089,ONTARIO,Domestic,Domestique,CANADA,CANADA,Infant Food - Cereal,Céréales - Nourrissons,29-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1.3,µg/g,2013_TS020,,,
C2013COUM00090,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Dried mixes,Mélanges sec,28-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,45.4,µg/g,2013_TS020,,,
C2013COUM00091,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Granola/Cereal Bar,Barre Granola/de céréales,28-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,3.7,µg/g,2013_TS020,,,
C2013COUM00092,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,28-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,382,µg/g,2013_TS020,,,
C2013COUM00093,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Tea - Black,Thé - Noir,28-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,157,µg/g,2013_TS020,,,
C2013COUM00094,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Tea - Herbal,Thé - Herbal,29-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,272,µg/g,2013_TS020,,,
C2013COUM00095,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,28-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,48.4,µg/g,2013_TS020,,,
C2013COUM00096,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,29-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1.2,µg/g,2013_TS020,,,
C2013COUM00097,ONTARIO,Import,Importé,SPAIN,ESPAGNE,Bakery Product - Bread - Other,Pain - Autre,28-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0,µg/g,2013_TS020,,,
C2013COUM00098,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,27-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,70.8,µg/g,2013_TS020,,,
C2013COUM00099,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,27-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,4.3,µg/g,2013_TS020,,,
C2013COUM00100,ONTARIO,Domestic,Domestique,CANADA,CANADA,Dried mixes,Mélanges sec,27-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0,µg/g,2013_TS020,,,
C2013COUM00101,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Granola/Cereal Bar,Barre Granola/de céréales,27-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,8.2,µg/g,2013_TS020,,,
C2013COUM00102,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Tea - Black,Thé - Noir,27-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,6.3,µg/g,2013_TS020,,,
C2013COUM00103,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,24-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,7.6,µg/g,2013_TS020,,,
C2013COUM00104,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Children,Céréales - Enfants,24-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,8.4,µg/g,2013_TS020,,,
C2013COUM00105,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Infant Food - Cereal,Céréales - Nourrissons,24-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,0.5,µg/g,2013_TS020,,,
C2013COUM00106,ONTARIO,Import,Importé,INDIA,INDE,Dried mixes,Mélanges sec,25-Jan-14,COUMARIN,COUMARIN,Coumarin,La coumarine,8.6,µg/g,2013_TS020,,,
C2013COUM00107,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,4.7,µg/g,2013_TS020,,,
C2013COUM00108,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,18-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,9.5,µg/g,2013_TS020,,,
C2013COUM00109,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Baking Mixes,Mélange à pâte,29-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,41,µg/g,2013_TS020,,,
